,id,FN,SN,LN,Captured,Sex,Length,Diam,Height,Whole,Shucke,Viscera,Shell,Rings
21,5095,DJ,College,Master,20200609T000000,M,0.44115677027494987,,,0.48067131031640065,,0.20872328621890424,0.23288006781361298,
22,5585,MC,Breeze,Master,20201023T000000,F,0.8004765334713739,0.5745583964755259,0.22416974434623316,1.296818873805848,,0.42474421371179716,,
23,1769,Baby,Rock,Kitty,20200906T000000,M,0.445,0.32,0.12,0.414,0.19899999999999998,0.09,0.11699999999999999,7.0
24,1785,Monster,Flow,Head,20200223T000000,F,0.535,0.425,0.135,0.7709999999999999,0.3765,0.1815,0.1795,8.0
25,3541,Boss,Breeze,Death,20200508T000000,I,0.45,0.35,0.11,0.514,0.253,0.1045,0.14,8.0
26,5253,Jalapeno,Breeze,Death,20200104T000000,M,0.783171605239634,0.5058755041629401,,1.189426393229262,,0.405238248591267,0.49618188093649174,12.0
27,1182,Lil',College,Kitty,20200622T000000,F,0.66,0.53,0.185,1.3459999999999999,0.546,0.2705,0.47600000000000003,11.0
28,380,Boss,Block,Master,20200912T000000,M,0.605,0.47,0.18,1.1405,0.3755,0.2805,0.385,15.0
29,664,Monster,Block,Head,20200406T000000,I,0.45,0.355,0.12,0.41200000000000003,0.1145,0.0665,0.16,19.0
30,1905,Kid,College,Man,20200215T000000,I,0.575,0.45,0.135,0.8715,0.45,0.162,0.225,10.0
31,2844,Jalapeno,College,Machine,20200712T000000,M,0.605,0.475,0.19,1.1255,0.59,0.247,0.26,10.0
32,34,Boss,Breeze,Man,20200609T000000,F,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,13.0
33,2474,MC,Block,Master,20200708T000000,M,0.605,0.49,0.145,1.3,0.517,0.3285,0.31,14.0
34,3383,Monster,Full,Killer,20201209T000000,M,0.5,0.375,0.13,0.721,0.3055,0.1725,0.22,14.0
35,3224,Lil',College,Killer,20200708T000000,M,0.64,0.525,0.2,1.3765,0.44,0.3075,0.47,16.0
36,457,Kid,Rock,Master,20200816T000000,I,0.36,0.28,0.105,0.19899999999999998,0.0695,0.045,0.08,9.0
37,867,Big,Glock,Head,20200518T000000,F,0.615,0.5,0.175,1.3769999999999998,0.5585,0.33,0.292,12.0
38,3832,Lil',College,Head,20201216T000000,F,0.46,0.365,0.115,0.4485,0.165,0.083,0.17,14.0
39,111,Jalapeno,Flow,Killer,20200924T000000,M,0.465,0.36,0.105,0.431,0.172,0.107,0.175,9.0
40,4665,Boss,College,Master,20200806T000000,I,0.6848648025225409,,0.3205934654348662,1.423200320759587,,,,17.0
41,1170,Fresh,Rock,Machine,20200719T000000,F,0.625,0.485,0.175,1.3745,0.7335,0.2715,0.332,9.0
42,3140,Lil',Block,Machine,20200521T000000,M,0.55,0.425,0.16,0.97,0.2885,0.139,0.48,20.0
43,4857,Boy,Breeze,Machine,20200414T000000,M,0.5016770416510083,,,0.4160049813996848,,0.12874338477802674,0.15511289067769363,6.0
44,3304,Boy,College,Master,20200207T000000,F,0.57,0.435,0.14,0.8085,0.3235,0.183,0.22,16.0
45,626,Jalapeno,Full,Master,20200922T000000,F,0.425,0.335,0.095,0.322,0.1205,0.061,0.125,10.0
46,1889,Boss,Block,Man,20200510T000000,M,0.565,0.415,0.125,0.667,0.302,0.1545,0.185,7.0
47,2043,Dungeon,Rock,Death,20200619T000000,I,0.395,0.295,0.1,0.293,0.14,0.062,0.08199999999999999,7.0
48,5182,Dungeon,Block,Man,20200219T000000,M,0.6579287528966734,0.4591264970092868,0.19003270488404939,0.677850526937242,,,0.19034867489836002,5.0
49,2198,Kid,Glock,Death,20200405T000000,I,0.27,0.19,0.08,0.081,0.0265,0.0195,0.03,6.0
50,2229,Fresh,Rock,Killer,20201122T000000,M,0.37,0.28,0.095,0.2225,0.0805,0.051,0.075,7.0
51,567,Boss,College,Death,20200813T000000,I,0.435,0.33,0.125,0.406,0.1685,0.1055,0.096,12.0
52,2907,Boy,Breeze,Killer,20200507T000000,M,0.58,0.46,0.15,1.0490000000000002,0.5205,0.1935,0.305,10.0
53,318,Dungeon,Rock,Death,20200810T000000,F,0.58,0.455,0.155,0.8365,0.315,0.1385,0.32,18.0
54,2797,Monster,Full,Killer,20200203T000000,M,0.64,0.505,0.155,1.1955,0.5565,0.21100000000000002,0.34600000000000003,11.0
55,1245,Fresh,Glock,Kitty,20200605T000000,I,0.385,0.28,0.09,0.228,0.1025,0.042,0.0655,5.0
56,4762,Kid,Rock,Kitty,20201009T000000,I,0.6739929820699411,0.4798232642575243,,0.6988341012980903,,,0.24235378093718693,13.0
57,779,DJ,Block,Killer,20201117T000000,F,0.47,0.36,0.145,0.537,0.1725,0.1375,0.195,15.0
58,2762,Jalapeno,Rock,Man,20200721T000000,I,0.55,0.42,0.155,0.912,0.495,0.1805,0.205,9.0
59,1865,Fresh,Flow,Machine,20200413T000000,I,0.52,0.38,0.115,0.6645,0.3285,0.17,0.1425,7.0
60,1786,DJ,Rock,Kitty,20200403T000000,I,0.535,0.385,0.18,1.0835,0.4955,0.2295,0.304,8.0
61,3274,Kid,Flow,Master,20200509T000000,F,0.5,0.405,0.14,0.6735,0.265,0.124,0.25,18.0
62,4820,Baby,College,Death,20200815T000000,I,,0.5407661151614581,,0.6795570303817005,0.3391432591360162,0.21690637112603878,0.2653807165829351,
63,2362,MC,Block,Death,20200916T000000,F,0.66,0.525,0.205,1.3665,0.5005,0.29100000000000004,0.41,18.0
64,116,Jalapeno,Block,Head,20200723T000000,F,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,11.0
65,1370,Lil',Block,Head,20200119T000000,M,0.615,0.47,0.165,1.128,0.4465,0.2195,0.34,10.0
66,679,Lil',Rock,Killer,20200608T000000,F,0.37,0.275,0.1,0.2225,0.09300000000000001,0.026000000000000002,0.08,8.0
67,91,Dungeon,Glam,Killer,20201021T000000,M,0.555,0.44,0.15,0.755,0.307,0.1525,0.26,12.0
68,2823,MC,Rock,Death,20201009T000000,I,0.455,0.35,0.105,0.4445,0.213,0.107,0.1115,7.0
69,3782,Boss,Full,Man,20201008T000000,F,0.62,0.5,0.175,1.107,0.4895,0.24,0.34299999999999997,11.0
70,1257,Dungeon,Rock,Killer,20201018T000000,I,0.43,0.34,0.0,0.428,0.2065,0.086,0.115,8.0
71,2,Jalapeno,Glock,Head,20200213T000000,F,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,9.0
72,5183,Dungeon,College,Master,20201013T000000,M,0.6813690098714771,0.568351817079579,,0.9926373009885219,,,0.33861254154116105,9.0
73,2924,DJ,Block,Head,20200424T000000,M,0.605,0.49,0.18,1.167,0.457,0.29,0.3745,9.0
74,2647,Lil',Glam,Head,20200907T000000,I,0.5,0.39,0.125,0.583,0.294,0.132,0.1605,8.0
75,3370,Lil',College,Man,20200217T000000,M,0.455,0.345,0.125,0.44,0.16899999999999998,0.1065,0.135,12.0
76,2388,Big,Glam,Death,20201201T000000,I,0.515,0.375,0.14,0.6505,0.2495,0.141,0.2215,10.0
77,3358,Big,Rock,Kitty,20201015T000000,M,0.285,0.215,0.075,0.106,0.0415,0.023,0.035,5.0
78,2516,Monster,Breeze,Master,20201022T000000,I,0.475,0.365,0.12,0.53,0.2505,0.0975,0.1625,10.0
79,3868,Fresh,Glam,Machine,20200315T000000,F,0.44,0.34,0.135,0.3975,0.1505,0.0945,0.135,8.0
80,3295,DJ,Glock,Death,20200617T000000,M,0.59,0.45,0.12,0.7485,0.3345,0.1315,0.22,14.0
81,1939,Big,Rock,Killer,20200119T000000,F,0.625,0.445,0.16,1.09,0.46,0.2965,0.304,11.0
82,1392,Boy,Rock,Machine,20201020T000000,M,0.635,0.475,0.17,1.1935,0.5205,0.2695,0.3665,10.0
83,3802,Baby,Flow,Death,20200819T000000,I,0.305,0.23,0.075,0.1455,0.0595,0.0305,0.05,6.0
84,4358,Kid,College,Kitty,20200307T000000,F,0.7365081077523494,,,1.2018287727517936,,,,
85,3339,MC,Rock,Death,20200605T000000,F,0.585,0.475,0.185,0.8575,0.3465,0.1785,0.275,12.0
86,2865,DJ,Rock,Death,20200215T000000,I,0.315,0.235,0.075,0.1285,0.051,0.027999999999999997,0.0405,4.0
87,3443,Baby,Block,Kitty,20200801T000000,I,0.485,0.37,0.1,0.513,0.21899999999999997,0.1075,0.13,7.0
88,1394,Monster,Glam,Master,20200318T000000,M,0.64,0.565,0.23,1.521,0.644,0.37200000000000005,0.406,15.0
89,1671,DJ,Glam,Death,20201118T000000,M,0.61,0.47,0.16,1.022,0.449,0.2345,0.2945,9.0
90,4172,Boss,College,Death,20201001T000000,F,0.565,0.45,0.165,0.887,0.37,0.239,0.249,11.0
91,204,MC,Glam,Killer,20201002T000000,M,0.42,0.335,0.115,0.369,0.171,0.071,0.12,8.0
92,843,DJ,College,Killer,20200421T000000,M,0.505,0.44,0.14,0.8275,0.3415,0.1855,0.239,8.0
93,1928,Kid,Full,Man,20200701T000000,F,0.615,0.495,0.16,1.255,0.5815,0.3195,0.3225,12.0
94,4600,Boy,Breeze,Master,20200818T000000,M,0.5780998739538554,0.41157590854518744,0.13077747620896937,0.2565953002427627,,0.22296474277080597,0.11664064695323176,6.0
95,4160,MC,College,Killer,20200309T000000,F,0.585,0.475,0.165,1.053,0.45799999999999996,0.217,0.3,11.0
96,1391,DJ,Glam,Machine,20200410T000000,F,0.635,0.495,0.175,1.2109999999999999,0.7070000000000001,0.2725,0.32299999999999995,9.0
97,3418,Boss,Block,Kitty,20200419T000000,F,0.58,0.48,0.18,1.2495,0.4945,0.27,0.371,8.0
98,1068,DJ,Glam,Killer,20200405T000000,I,0.37,0.28,0.1,0.221,0.1165,0.0265,0.0635,6.0
99,503,Fresh,Flow,Kitty,20200305T000000,F,0.6,0.505,0.19,1.129,0.4385,0.256,0.36,13.0
100,593,Boy,Rock,Killer,20200103T000000,F,0.66,0.52,0.18,1.514,0.526,0.2975,0.42,19.0
101,632,Baby,Full,Master,20201002T000000,M,0.46,0.365,0.125,0.467,0.1895,0.0945,0.158,10.0
102,3207,DJ,Glock,Head,20200215T000000,I,0.48,0.38,0.125,0.523,0.2105,0.1045,0.175,15.0
103,795,Fresh,Glock,Machine,20200807T000000,M,0.515,0.405,0.145,0.695,0.215,0.1635,0.23399999999999999,15.0
104,3054,Dungeon,College,Head,20201216T000000,M,0.6,0.45,0.15,0.8665,0.3695,0.1955,0.255,12.0
105,946,Monster,Full,Master,20200121T000000,F,0.47,0.365,0.12,0.5820000000000001,0.29,0.092,0.146,8.0
106,5333,Fresh,Glam,Man,20200814T000000,I,0.440064146809663,0.4584609759941186,0.2833852536475635,0.4013931262083419,,0.2354104138792521,0.15552670595366833,
107,3106,Fresh,Rock,Man,20200803T000000,I,0.3,0.22,0.065,0.1235,0.059000000000000004,0.026000000000000002,0.0315,5.0
108,879,DJ,College,Man,20200824T000000,F,0.64,0.51,0.165,1.486,0.7595,0.332,0.321,8.0
109,3511,DJ,Rock,Master,20201106T000000,M,0.655,0.52,0.18,1.492,0.7185,0.36,0.355,11.0
110,308,Lil',Rock,Man,20200616T000000,M,0.55,0.41,0.125,0.7605,0.2505,0.1635,0.195,14.0
111,728,MC,Flow,Man,20201103T000000,M,0.505,0.4,0.125,0.77,0.2735,0.159,0.255,13.0
112,2491,Dungeon,Glock,Head,20200820T000000,F,0.515,0.395,0.165,0.7565,0.1905,0.17,0.3205,10.0
113,4647,DJ,Flow,Machine,20200119T000000,M,0.5397145980464554,0.4515932810213069,,0.5931848815210403,,,,
114,834,Fresh,Flow,Kitty,20201022T000000,I,0.445,0.325,0.1,0.37799999999999995,0.1795,0.1,0.08900000000000001,7.0
115,1075,DJ,Breeze,Master,20201124T000000,I,0.41,0.325,0.1,0.3245,0.132,0.07200000000000001,0.106,6.0
116,3689,MC,Full,Master,20200312T000000,F,0.63,0.505,0.195,1.306,0.516,0.3305,0.375,9.0
117,2673,Boss,Glock,Master,20201224T000000,M,0.595,0.47,0.165,1.1079999999999999,0.4915,0.2325,0.3345,9.0
118,2313,Monster,Breeze,Master,20200310T000000,M,0.595,0.47,0.145,0.991,0.4035,0.1505,0.34,16.0
119,2447,Lil',Flow,Machine,20200209T000000,I,0.275,0.205,0.08,0.096,0.036000000000000004,0.0185,0.03,6.0
120,4648,Lil',Flow,Master,20200908T000000,F,0.5900170274008182,,0.24144409990761395,0.8002718279617077,,0.17900760176091646,,
121,444,Boss,Full,Killer,20200701T000000,F,0.41,0.325,0.105,0.3635,0.159,0.077,0.12,10.0
122,2262,Boy,Glock,Kitty,20200318T000000,F,0.58,0.455,0.16,0.9215,0.312,0.196,0.3,17.0
123,826,Boss,College,Machine,20200714T000000,I,0.395,0.29,0.095,0.304,0.127,0.084,0.077,6.0
124,2659,Boy,Flow,Head,20201116T000000,F,0.55,0.44,0.135,0.8435,0.434,0.1995,0.185,8.0
125,3193,Fresh,Flow,Killer,20200821T000000,M,0.565,0.435,0.185,1.032,0.354,0.2045,0.31,20.0
126,3186,Fresh,Breeze,Master,20200114T000000,F,0.47,0.36,0.11,0.4965,0.237,0.127,0.13,6.0
127,382,Boss,Flow,Kitty,20200406T000000,M,0.485,0.4,0.135,0.6629999999999999,0.313,0.13699999999999998,0.2,10.0
128,3716,Dungeon,College,Head,20200517T000000,I,0.235,0.13,0.075,0.1585,0.0685,0.037000000000000005,0.0465,5.0
129,1016,Fresh,Rock,Death,20200504T000000,M,0.63,0.485,0.155,1.278,0.637,0.275,0.31,8.0
130,2052,Boss,Rock,Machine,20200706T000000,M,0.46,0.345,0.12,0.4935,0.2435,0.1175,0.132,8.0
131,2908,MC,Full,Machine,20200619T000000,F,0.58,0.45,0.17,0.9705,0.4615,0.23199999999999998,0.248,9.0
132,2034,Boy,Flow,Head,20200415T000000,F,0.625,0.515,0.18,1.3485,0.5255,0.252,0.3925,14.0
133,1536,Fresh,Block,Death,20200624T000000,I,0.335,0.255,0.08,0.168,0.079,0.0355,0.05,5.0
134,4175,Jalapeno,Full,Head,20200511T000000,F,0.625,0.485,0.15,1.0945,0.531,0.261,0.29600000000000004,10.0
135,3804,Kid,Rock,Killer,20200717T000000,I,0.355,0.27,0.1,0.2255,0.11,0.042,0.064,7.0
136,1314,Jalapeno,Rock,Master,20200214T000000,I,0.55,0.435,0.14,0.7535,0.3285,0.1555,0.2325,10.0
137,2829,Jalapeno,Glam,Killer,20200922T000000,I,0.52,0.395,0.145,0.77,0.424,0.142,0.1895,7.0
138,646,Kid,Glock,Machine,20200508T000000,M,0.33,0.215,0.075,0.1145,0.045,0.0265,0.035,6.0
139,854,Dungeon,Rock,Man,20200617T000000,M,0.57,0.435,0.13,0.7535,0.349,0.1755,0.19399999999999998,10.0
140,591,Kid,College,Killer,20200824T000000,F,0.37,0.29,0.115,0.25,0.111,0.057,0.075,9.0
141,5643,Boss,Flow,Machine,20200507T000000,M,0.5794090466944125,,0.31480240973089,1.0113858869065275,0.4943571060248134,,0.2928116901714529,9.0
142,3718,Dungeon,Full,Head,20200419T000000,I,0.36,0.25,0.115,0.465,0.21,0.1055,0.128,7.0
143,3005,Jalapeno,College,Master,20200324T000000,M,0.68,0.54,0.21,1.7885,0.8345,0.408,0.43700000000000006,13.0
144,3267,Dungeon,Full,Killer,20201107T000000,F,0.4,0.335,0.115,0.4335,0.2105,0.1205,0.12,10.0
145,4435,Kid,Glock,Man,20201203T000000,I,0.5636109914731738,,,0.5140519852864123,,0.050200753587885893,,4.0
146,3398,Baby,Rock,Head,20201218T000000,M,0.365,0.285,0.085,0.2205,0.0855,0.0515,0.07,9.0
147,2729,DJ,Glock,Killer,20200918T000000,I,0.405,0.305,0.1,0.268,0.1145,0.053,0.085,7.0
148,46,Boss,Flow,Machine,20201202T000000,M,0.47,0.37,0.12,0.5795,0.293,0.22699999999999998,0.14,9.0
149,1277,MC,Flow,Master,20200318T000000,I,0.48,0.365,0.1,0.461,0.2205,0.0835,0.135,8.0
150,5275,Boss,Block,Kitty,20200803T000000,M,0.7946543071441877,0.5479311791805939,0.23059932523964127,1.1579064903304301,,0.23175731826833196,,21.0
151,4906,Big,Rock,Machine,20200913T000000,F,0.7137849057357475,,0.3056513344921188,0.9651372047031757,,0.22585722706135913,0.4502318503991685,21.0
152,1015,Boss,Breeze,Head,20200509T000000,F,0.625,0.485,0.2,1.38,0.5845,0.302,0.401,9.0
153,726,DJ,Block,Head,20201014T000000,M,0.4,0.305,0.085,0.297,0.10800000000000001,0.0705,0.1,10.0
154,1023,Boy,Breeze,Head,20200615T000000,F,0.64,0.5,0.175,1.3940000000000001,0.4935,0.29100000000000004,0.4,10.0
155,4697,DJ,College,Master,20200404T000000,I,0.6471153420660752,,0.36964151641094434,1.0058299429179418,,0.25489613671831424,,9.0
156,71,Fresh,Rock,Machine,20200422T000000,F,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1,8.0
157,3386,Kid,Flow,Master,20201112T000000,M,0.515,0.4,0.125,0.955,0.341,0.2535,0.26,13.0
158,775,Big,Full,Man,20201210T000000,M,0.53,0.41,0.165,0.732,0.18899999999999997,0.17,0.31,11.0
159,3494,Big,Block,Machine,20201123T000000,F,0.555,0.43,0.135,0.812,0.4055,0.163,0.2215,9.0
160,3219,Boy,Rock,Kitty,20200504T000000,M,0.675,0.525,0.175,1.402,0.483,0.3205,0.465,16.0
161,5507,Baby,College,Man,20200919T000000,M,0.585979168632048,0.4044150240256534,,0.7566345104725246,,,0.22478754600123457,5.0
162,2874,Kid,Block,Machine,20200104T000000,I,0.425,0.34,0.1,0.371,0.15,0.0865,0.115,8.0
163,3409,Dungeon,Rock,Man,20201103T000000,I,0.395,0.31,0.095,0.313,0.131,0.07200000000000001,0.09300000000000001,7.0
164,117,Baby,Breeze,Head,20200504T000000,M,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165,10.0
165,411,Boss,Block,Killer,20200312T000000,M,0.585,0.475,0.12,0.945,0.41,0.2115,0.28,14.0
166,2205,Fresh,Full,Head,20200519T000000,I,0.275,0.22,0.08,0.1365,0.0565,0.0285,0.042,6.0
167,1943,Monster,Glock,Machine,20200210T000000,F,0.635,0.485,0.165,1.2695,0.5635,0.3065,0.3395,11.0
168,3181,MC,Glam,Head,20200915T000000,M,0.5,0.385,0.135,0.551,0.2245,0.0715,0.20600000000000002,11.0
169,5559,Big,Block,Head,20201102T000000,I,0.6774165404472341,,,0.9106382693097896,,0.2922805347807901,0.407131506028625,14.0
170,4884,MC,Glock,Death,20200617T000000,I,,0.5015352652847959,,0.42501099322394864,,0.20418900810138813,,
171,3852,Big,College,Head,20200503T000000,M,0.55,0.41,0.15,0.785,0.282,0.18600000000000003,0.275,12.0
172,4400,Kid,College,Death,20201020T000000,F,0.6967732331200606,,0.292012960421498,1.3253820568973471,,,,
173,5610,MC,Full,Head,20200509T000000,I,0.47557219335388196,0.32912580424363114,0.12055122654272465,0.21871286463998874,,,0.217552499646943,
174,4518,Lil',Full,Kitty,20200915T000000,M,0.7645578400003386,0.6721207900638487,,1.3871889163915125,,,0.5880968383476807,
175,4669,Boss,Breeze,Killer,20200802T000000,I,0.7008056320532314,,0.21246387878701317,0.7752452500159522,,0.295728095124354,0.2626376944827048,14.0
176,1966,Fresh,Full,Master,20200708T000000,F,0.665,0.5,0.15,1.2475,0.4625,0.2955,0.3595,10.0
177,1175,Boy,Flow,Machine,20200501T000000,M,0.64,0.515,0.165,1.369,0.632,0.3415,0.358,10.0
178,5304,DJ,Breeze,Death,20200304T000000,I,0.45597534538477813,0.4083729829766048,,0.45539980290447896,,0.21372731252717403,,
179,1660,Jalapeno,Breeze,Machine,20201002T000000,M,0.6,0.47,0.165,1.0590000000000002,0.504,0.24100000000000002,0.275,9.0
180,3556,Boss,Full,Killer,20200805T000000,I,0.535,0.41,0.13,0.6075,0.268,0.1225,0.1975,9.0
181,2757,Boss,Glock,Machine,20200411T000000,I,0.525,0.375,0.12,0.6315,0.3045,0.114,0.19,9.0
182,3995,Monster,Rock,Machine,20201113T000000,I,0.245,0.175,0.055,0.0785,0.04,0.018000000000000002,0.02,5.0
183,4485,Jalapeno,College,Kitty,20201202T000000,I,0.5783131450880883,,,0.38426729421156297,0.2951626380321546,,0.2684207766573699,6.0
184,3583,Boy,Breeze,Machine,20200114T000000,F,0.625,0.5,0.175,1.273,0.564,0.302,0.374,9.0
185,4767,Dungeon,Rock,Machine,20200106T000000,I,0.3575357902941625,,,0.09230677082049861,,0.01535081646977032,,
186,322,Boy,Block,Machine,20201207T000000,M,0.385,0.31,0.1,0.2845,0.1065,0.075,0.1,11.0
187,3603,Fresh,Flow,Machine,20200704T000000,I,0.42,0.325,0.11,0.325,0.1245,0.0755,0.1025,7.0
188,2314,Monster,College,Machine,20200223T000000,F,0.58,0.475,0.135,0.925,0.391,0.165,0.275,14.0
189,2094,Boss,Block,Man,20200710T000000,I,0.405,0.305,0.09,0.2825,0.114,0.0575,0.095,7.0
190,165,Jalapeno,Glock,Head,20200701T000000,M,0.725,0.57,0.19,2.55,1.0705,0.483,0.725,14.0
191,2473,Boss,Full,Head,20200806T000000,F,0.615,0.47,0.175,1.2985,0.5135,0.34299999999999997,0.32,14.0
192,2109,Jalapeno,College,Man,20200609T000000,M,0.62,0.49,0.17,1.2105,0.5185,0.2555,0.335,13.0
193,422,Monster,College,Head,20201109T000000,F,0.49,0.39,0.135,0.5785,0.2465,0.12300000000000001,0.2,13.0
194,5209,Kid,Flow,Machine,20200605T000000,M,0.5400715183042872,0.4272125001640679,,0.9655434553941036,,0.3400679043213627,0.4014913553640473,
195,2812,Kid,Flow,Master,20200405T000000,I,0.24,0.17,0.05,0.0545,0.0205,0.016,0.0155,5.0
196,2218,Boy,Glam,Head,20200303T000000,M,0.495,0.39,0.15,0.853,0.3285,0.18899999999999997,0.27,14.0
197,2793,Baby,Full,Death,20201009T000000,M,0.63,0.505,0.175,1.2209999999999999,0.555,0.252,0.34,12.0
198,126,Boss,College,Master,20201019T000000,I,0.375,0.275,0.09,0.23800000000000002,0.1075,0.0545,0.07,6.0
199,2905,Lil',Breeze,Head,20200123T000000,M,0.575,0.45,0.165,0.9655,0.498,0.19,0.23,8.0
200,1586,DJ,Flow,Man,20200509T000000,I,0.515,0.35,0.105,0.4745,0.213,0.12300000000000001,0.1275,10.0
201,4255,Kid,Glam,Master,20200405T000000,I,0.7198558907171368,,0.24767426841387918,1.0171827609217259,,0.22596216595883634,0.40947327247608867,11.0
202,806,Boy,Block,Killer,20200902T000000,I,0.28,0.205,0.07,0.1015,0.040999999999999995,0.03,0.03,6.0
203,5637,Dungeon,Glam,Machine,20200918T000000,I,,,0.03843271026316368,0.1677960126315625,,0.19472154119114085,,4.0
204,2909,MC,Breeze,Man,20200103T000000,F,0.58,0.45,0.15,0.92,0.39299999999999996,0.212,0.2895,9.0
205,500,Baby,College,Machine,20200616T000000,F,0.58,0.44,0.18,0.8540000000000001,0.3665,0.1635,0.245,12.0
206,3033,Kid,Full,Machine,20200206T000000,M,0.535,0.41,0.12,0.6835,0.3125,0.1655,0.159,8.0
207,1831,MC,Full,Machine,20200606T000000,I,0.365,0.27,0.075,0.2215,0.095,0.0445,0.07,6.0
208,1229,Boy,Glock,Master,20200408T000000,I,0.365,0.27,0.085,0.1875,0.081,0.042,0.057999999999999996,6.0
209,4878,Jalapeno,Breeze,Kitty,20200614T000000,M,0.8177251324092085,,,1.0349188763876669,,0.39743467427429785,,
210,4785,Fresh,Glock,Man,20200920T000000,F,0.44032160533238246,,,0.4918899853431657,,0.19671041488412103,0.3141049335798528,
211,3970,Lil',Flow,Machine,20200620T000000,I,0.385,0.285,0.09,0.248,0.0935,0.066,0.07,6.0
212,3594,Lil',College,Master,20200619T000000,F,0.66,0.5,0.155,1.3765,0.6485,0.28800000000000003,0.335,12.0
213,5154,Lil',Glock,Head,20200104T000000,F,0.4770510648560713,0.38652833152489374,0.1280299021493052,,,0.10179923210826004,,
214,3575,Lil',Breeze,Man,20200409T000000,M,0.6,0.47,0.15,0.9279999999999999,0.4225,0.183,0.275,8.0
215,4036,Kid,Full,Master,20200612T000000,I,0.54,0.42,0.14,0.74,0.3595,0.159,0.1985,8.0
216,1436,Kid,Breeze,Machine,20200314T000000,I,0.395,0.295,0.09,0.3025,0.14300000000000002,0.0665,0.0765,5.0
217,1712,Kid,Flow,Master,20201116T000000,F,0.645,0.51,0.16,1.2415,0.5815,0.276,0.315,9.0
218,4195,Fresh,Breeze,Killer,20200216T000000,M,0.5001672271271275,0.4837537525057036,0.2700114850124483,0.7723992863474284,,,0.28497012289378365,7.0
219,5274,Boy,Full,Machine,20201114T000000,M,0.6847324747560685,0.5566996459313714,,1.3924930046478519,,,0.43246821922275713,9.0
220,1067,Lil',Full,Head,20201104T000000,I,0.34,0.265,0.08,0.2015,0.09,0.0475,0.055,5.0
221,3571,Boy,Flow,Man,20201010T000000,F,0.585,0.465,0.165,0.9355,0.4035,0.2275,0.259,9.0
222,2489,Kid,Flow,Death,20200305T000000,M,0.49,0.39,0.135,0.5920000000000001,0.242,0.096,0.1835,15.0
223,1115,Boss,Flow,Death,20200315T000000,M,0.525,0.405,0.12,0.7555,0.3755,0.1555,0.201,9.0
